Word (EN),Word (TA),English Definition,English example,Tamil Definition,Tamil example,Image url,Domain
Asymptotic Analysis,எல்லை செயல்திறன் ஆய்வு,Measures algorithm performance as input size grows large.,Comparing O(n) and O(n²) algorithms.,input size பெரிதாகும்போது algorithm எப்படி நடக்கும் என்று மதிப்பிடும் முறை.,"10 மாணவர் vs 10,000 மாணவர் data process செய்யும் நேரம் ஒப்பிடுவது.",https://media.geeksforgeeks.org/wp-content/uploads/20220822015828/thetanotation.png,DS
Assignment Operation,மதிப்பு ஒதுக்கல் செயல்,Stores a value into a variable.,x = 10,ஒரு variable-க்கு மதிப்பு கொடுக்கும் செயல் Assignment Operation.,மாணவர் மதிப்பெண் variable-ல் 85 என்று சேமித்தல்.,https://dotnettrickscloud.blob.core.windows.net/article/c/3720240527103859.png,DS
Binary Tree,இருமரம்,"A tree data structure where each node can have at most two children, called left and right.",Representing a family hierarchy with at most two children per parent.,ஒவ்வொரு node-க்கும் அதிகபட்சம் இரண்டு child node-கள் மட்டும் இருக்கும் மர வடிவ தரவமைப்பு.,ஒரு பெற்றோருக்கு இரண்டு குழந்தைகள் மட்டும் இருப்பது போன்ற அமைப்பு.,https://media.geeksforgeeks.org/wp-content/uploads/20240811023816/Introduction-to-Binary-Tree.webp,DS
Binary Search Tree (BST),இரும தேடல் மரம்,A binary tree where left child values are smaller and right child values are larger than the parent.,Storing sorted numbers for fast searching.,"இடது பக்கம் சிறிய மதிப்புகளும், வலது பக்கம் பெரிய மதிப்புகளும் கொண்ட தேடலுக்கு உதவும் மரம்.",அகரவரிசை அகராதி (Dictionary) போல தரவுகளை வரிசையாக வைத்தல்.,https://media.geeksforgeeks.org/wp-content/uploads/20250904151404492797/bst1.webp,DS
Balanced Tree,சமநிலை மரம்,A tree that maintains minimal height to ensure efficient operations.,AVL tree keeping height balanced.,"தேடல் வேகம் குறையாமல் இருக்க, மரத்தின் உயரத்தைச் சமமாக வைத்திருக்கும் அமைப்பு.",புத்தக அலமாரி ஒரு பக்கம் சாயாமல் சமமாக அடுக்கி வைத்திருப்பது போல.,https://media.geeksforgeeks.org/wp-content/uploads/20240805164549/balance-vs-unbalance-binnary-tree.webp,DS
Bucket Sort,வாளி வரிசைப்படுத்தல்,Distributes elements into buckets and sorts each bucket individually.,Sorting exam scores between 0–100.,"தரவுகளைப் பல பகுதிகளாகப் (Buckets) பிரித்து, ஒவ்வொன்றையும் தனித்தனியாக வரிசைப்படுத்தும் முறை.","0-10, 11-20 என மதிப்பெண்களைத் தனித்தனியாகப் பிரித்து அடுக்கும் முறை.",https://www.tutorialspoint.com/data_structures_algorithms/images/bucket_sort.jpg,DS
B-Tree,பி-மரம்,A self-balancing tree optimized for disk storage and databases.,Database indexing systems.,பெரிய அளவிலான தரவுச் சேமிப்பிற்கும் (Disk Storage) தரவுத்தளங்களுக்கும் ஏற்ற சமநிலை மரம்.,நூலக அட்டவணை முறை போல மிக விரைவான தேடல் வசதி.,https://media.geeksforgeeks.org/wp-content/uploads/20191219160544/Untitled-Diagram111.png,DS
B+ Tree,பி+ மரம்,Stores all data in leaf nodes and is optimized for range queries.,Searching records between two values in databases.,"தரவுகள் அனைத்தும் கடைசி கிளைகளில் (Leaf nodes) மட்டும் இருக்கும், தரவுத்தளத்திற்கு ஏற்ற மரம்.",ஒரு குறிப்பிட்ட எண்களுக்கு இடைப்பட்ட (Range) தகவல்களைத் தேடுதல்.,https://i.sstatic.net/qEXGR.png,DS
Breadth First Search (BFS),அகல முதன்மை தேடல்,Explores all neighboring nodes level by level before going deeper.,Finding shortest path in a graph.,ஒரு தளத்தில் உள்ள அனைத்து முனைகளையும் பார்த்த பிறகு அடுத்த நிலைக்குச் செல்லும் தேடல்.,ஒரு மாடியில் உள்ள எல்லா அறைகளையும் பார்த்த பின் அடுத்த மாடிக்குச் செல்வது போல.,https://media.geeksforgeeks.org/wp-content/uploads/20240216084522/bfs-vs-dfs-(1).png,DS
Backtracking,பின்னோக்கிச் சோதனை,Tries all possibilities and reverses steps when a solution fails.,Solving a maze or Sudoku.,"ஒரு வழி அடைபட்டால், பின்னோக்கி வந்து வேறு வழியை முயற்சிக்கும் நுட்பம்.",புதிர் பாதையில் (Maze) தவறான வழி என்றால் மீண்டும் வந்து வேறு வழியில் செல்வது.,https://media.geeksforgeeks.org/wp-content/uploads/20230214215625/backtracking.jpg,DS
Bit Manipulation,பிட் கையாளல்,Involves working directly with binary bits (0s and 1s).,Checking even/odd using bitwise operators.,கணினியின் அடிப்படை மொழியான 0 மற்றும் 1-களை நேரடியாகக் கையாளுதல்.,மின்சார ஸ்விட்ச் (ON/OFF) நிலைகளை மாற்றுவது போன்ற தர்க்கம்.,,DS
Buffer,தற்காலிக நினைவகம்,A temporary storage area used while transferring data.,Keyboard input stored before processing.,ஒரு வேலையைச் செய்யத் தேவையான தரவைத் தற்காலிகமாகச் சேமித்து வைக்கும் இடம்.,தண்ணீர் தொட்டி போல - தேவைப்படும் போது பயன்படுத்தச் சேமிப்பது.,,DS
Circular Queue,வட்ட வரிசை க்யூ,A queue where the last position is connected back to the first position to efficiently use memory.,CPU task scheduling using a circular queue.,Queue-ன் கடைசி இடம் முதல் இடத்துடன் இணைக்கப்பட்டு memory வீணாகாமல் பயன்படுத்தும் அமைப்பு.,"வட்டமாக இருக்கும் waiting line போல, கடைசியில் நிற்பவர் மீண்டும் ஆரம்ப இடத்தை பயன்படுத்துவது.",https://www.tutorialspoint.com/data_structures_algorithms/images/circular_queue_image.jpg,DS
Complete Binary Tree,முழுமையான இருமரம்,"A binary tree where all levels are fully filled except possibly the last, which is filled from left to right.",Heap data structure representation.,கடைசி நிலையைத் தவிர மற்ற எல்லா நிலைகளும் முழுமையாக நிரப்பப்பட்ட இருமரம்.,Classroom benches இடது பக்கம் முதல் வரிசையாக நிரப்புவது போல.,https://media.geeksforgeeks.org/wp-content/uploads/20220414154428/complete-200x132.jpg,DS
Collision,மோதல்,Occurs when two keys map to the same index in a hash table.,Two student IDs hashing to the same slot.,Hash table-ல் இரண்டு data-கள் ஒரே இடத்தை அடையும் போது ஏற்படும் நிலை.,இரண்டு பேர் ஒரே locker number பெறுவது போல.,,DS
Cache,தற்காலிக வேக நினைவகம்,"A small, fast memory that stores frequently used data for quick access.",Browser cache storing website images.,அடிக்கடி பயன்படுத்தப்படும் data-வை வேகமாக தரும் சிறிய memory.,அடிக்கடி பயன்படுத்தும் பொருட்களை அருகில் வைத்துக் கொள்வது போல.,https://www.keycdn.com/img/support/cache-definition.png,DS
Chaining,சங்கிலி இணைப்பு,A method to handle hash collisions using linked lists at each index.,Multiple values stored in the same hash index using a list.,Collision ஏற்பட்டால் ஒரே இடத்தில் linked list-ஆ data சேமிக்கும் முறை.,ஒரே hook-ல் பல சாவிகள் தொங்குவது போல.,,DS
Clustering,குழுமம் உருவாக்கல்,Refers to grouping similar data or collisions near each other in memory.,Linear probing causing nearby slots to fill.,Hash table-ல் data-கள் ஒரே பகுதியில் கூடிச் சேரும் நிலை.,Parking lot-ல் ஒரு இடத்தில் அதிக வாகனங்கள் நிற்பது போல.,https://media.geeksforgeeks.org/wp-content/uploads/merge3cluster.jpg,DS
Complexity,செயல்திறன் அளவு,Measures the time or space required by an algorithm to run.,An algorithm with O(n) complexity.,ஒரு algorithm எவ்வளவு நேரம் அல்லது memory பயன்படுத்துகிறது என்பதை அளக்கும் அளவுகோல்.,"10 வேலை செய்யும் நேரம் vs 10,000 வேலை செய்யும் நேரம் ஒப்பிடுவது.",https://media.geeksforgeeks.org/wp-content/uploads/20230302113306/mypic.png,DS
Connected Graph,இணைந்த வரைபடம்,A graph where there is a path between every pair of vertices.,All computers connected in a network.,எந்த node-இலிருந்தும் மற்ற node-க்கு செல்ல வழி இருக்கும் graph.,ஒரு நகரத்தின் எல்லா பகுதிகளும் சாலையால் இணைக்கப்பட்டிருப்பது.,https://www.gatevidyalay.com/wp-content/uploads/2018/06/Connected-Graph-Example.png,DS
Cycle Detection,சுழற்சி கண்டறிதல்,Identifies loops in a graph or linked structure to prevent infinite processing.,Detecting infinite loops in linked lists.,Data structure-ல் திரும்பத் திரும்ப வரும் பாதை உள்ளதா கண்டுபிடிக்கும் முறை.,ஒரே சுற்று மீண்டும் மீண்டும் ஓடும் race track போல.,https://www.includehelp.com/data-structure-tutorial/images/cycle-detection-in-a-directed-graph-1.jpg,DS
